tmc_name,tmc_article,web_code,tmc_price
Картридж Europrint EPC-WC3225/3260,VND EPC-WC3225,223 616,"3 230,36"
Кулер для CPU Deepcool ICE BLADE 100 (DP-MCH1D8-IB100),DP-MCH1D8-IB100,55 970,"3 279,47"
Кабельный организатор для серверного шкафа SHIP J606-5V2H,VND J606-5V2H,224 100,"3 452,68"
Удлинитель 50 м,Удлинитель 50 м,142 399,"3 571,43"
Картридж Canon GI-490 Yellow (Для G1400/2400/3400/4400) СНПЧ,GI-490 Yellow,37 061,"3 601,04"
Картридж Canon GI-490 Black (Для G1400/2400/3400/4400) СНПЧ,GI-490 Black,37 058,"3 601,72"
Картридж Canon GI-490 Cyan (Для G1400/2400/3400/4400) СНПЧ,GI-490 Cyan,37 059,"3 602,12"
Картридж Canon GI-490 Magenta (Для G1400/2400/3400/4400) СНПЧ,GI-490 Magenta,37 060,"3 603,60"
Запасные части,Запасные части,52 481,"3 623,51"
Набор отверток,Набор отверток,29 250,"3 686,78"
Drum Unit (101R00474) для XEROX Phaser 3052/3260/ WC3215/3225 OEM TYPE 1,101R00474,260 921,"3 715,18"
Картридж HP №131A Cyan (Для M251/M276) (CF211A),CF211A,62 208,"3 983,93"
Картридж HP №131A Yellow (Для M251/M276) (CF212A),CF212A,62 209,"3 983,93"
"Инструмент сенсорный для плинтов POUYET, QUANTE, KRONE,STG",Инструмент сенсорный для плинтов,269 662,"4 017,86"
Картридж Europrint EPC-052H Black (Для LBP212/214/215/MF421/426/428/429) (EPC-052H),EPC-052H,136 365,"4 208,93"
"Набор отверток, CrV, трехкомпонентные рукоятки, 6 предметов Сибртех",13374M,193 362,"4 317,86"
Оперативная память DDR3 DIMM 4GB/1600MHz G.Skill (F3-1600C11S-4GNT),F3-1600C11S-4GNT,269 649,"4 516,96"
SFP+ Module Multi Mode Fiber 10GBE LC,S26361-F3986-E3,142 302,"5 107,15"
"Внутренний SSD 2.5"" 7мм 256GB Kimtigo KTA 320 SATA-III TLC (KTA-320-256G)",KTA-320-SSD 256G,271 444,"5 668,75"
Картридж HP W1106A (С ЧИПОМ) for Laser MFP 135a/135w/137fnw/107a/107w (1K) Euro Print,P W1106A,272 796,"6 207,71"
HDMI Splitter 4 port,HDMI Splitter 4 port,257 684,"6 250,00"
"Внутренний SSD 2.5"" 7мм 128GB Hikvision E100 SATA-III 3D TLC (HS-SSD-E100/128G)",HS-SSD-E100/128G,257 926,"6 498,21"
Оперативная память DDR3 DIMM 4GB/1600MHz Apacer (DL.04G2K.HAM),DL.04G2K.HAM,258 452,"6 896,03"
"Конвертер UGREEN, USB 3.0(m) Type C на LAN RJ-45,10/100/1000 Mbps (50627)",50627,269 908,"6 964,29"
"Внутренний SSD 2.5"" 7мм 256Gb Apacer Panther AS350 (AP256GAS350-1)",AP256GAS350-1,269 650,"6 989,28"
Воздушно-пузырчатая плёнка (толщ.5мм),Воздушно-пузырчатая плёнка,27 012,"7 071,43"
"Конвертер UGREEN, USB 3.0 на LAN RJ-45,10/100/1000 Mbps (20256)",20256_ugreen,230 187,"7 142,86"
"Конвертер UGREEN, USB 2.0 на LAN RJ-45,10/100 Mbps + USB HUB 3 port, 0.2m (20264)",20264_ugreen,230 186,"7 142,86"
Оперативная память DDR3 SODIMM 4GB/1600MHz Apacer (DS.04G2K.HAM),DS.04G2K.HAM,263 338,"7 393,75"
Внутренний SSD M.2 2280 256GB Patriot P300 PCIe 3.0 x4 3D TLC (P300P256GM28),P300P256GM28,220 305,"7 473,21"
Аккумуляторная батарея SVC AV9-12/S 12В 9 Ач,AV9-12/S,262 939,"7 501,79"
Оперативная память DDR4 DIMM 8GB/2666MHz PC-21300 PATRIOT (PSD48G266681),PSD48G266681,243 544,"7 554,47"
"Патч Панель, SHIP, Оригинал, P197-24, Категория 5e, 19"" (1U), 24 Порта",P197-24,32 104,"7 887,05"
Оперативная память DDR3 SODIMM 8GB/1600MHz Hikvision S1 (HKED3082BAA2A0ZA1),HKED3082BAA2A0ZA1,263 339,"7 912,50"
Адаптер PoE Ubiquiti GBE POE-48-24W-G,POE-48-24W-G,249 337,"8 035,71"
Оперативная память DDR3 DIMM 8GB/1600MHz Hikvision U1 (HKED3081BAA2A0ZA1),HKED3081BAA2A0ZA1,260 520,"8 095,60"
Drum Unit (101R00664) для Xerox B205/210/215 OEM TYPE 1,101R00664,258 235,"8 276,80"
"Сетевой фильтр, SHIP, 700509102, Для шкафов и стоек размера 19"", 9 Розеток, 2 м, 16A, 4000W, Чёрный",700509102,24 303,"8 314,29"
Клавиатура беспроводная USB Logitech Compact K270,920-003757,905,"8 835,72"
Оперативная память DDR4 SODIMM 8GB/2666MHz PC4-21300 Kingston (KVR26S19S8/8),KVR26S19S8/8,216 347,"9 054,46"
"Гарнитура Накладная Logitech 960 USB , Black",981-000100,238 607,"9 299,54"
Оперативная память DDR3 SODIMM 8GB/1600MHz PC3-12800 AMD Radeon (R538G1601S2S-U),R538G1601S2S-U,216 145,"9 737,50"
"Внутренний SSD 2.5"" 7мм 256GB Hikvision E100 SATA-III 3D TLC (HS-SSD-E100/256G)",HS-SSD-E100/256G,257 927,"10 113,39"
